country|quarter|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Argentina|2020Q1|0.0006008182878049554|0.0|6.318681318681318|57.20132859|49.85289274|44.938712|-8.010989010989011|-12.956043956043956|-8.43956043956044|22.252307692307692|-4.30904346
Argentina|2020Q2|0.028483237347790475|0.0|75.0|57.20132859|49.85289274|44.938712|-28.428571428571427|-73.23076923076923|-38.02197802197802|92.59285714285716|-15.08042518
Argentina|2020Q3|0.34780703105153526|0.0|75.0|57.20132859|49.85289274000001|44.938712|-18.02173913043478|-56.08695652173913|-24.01086956521739|89.37967391304348|12.18523996
Argentina|2020Q4|0.5854019225428935|0.0|75.0|57.20132859|49.85289274000001|44.94347342391305|-8.695652173913043|-43.19565217391305|-15.652173913043478|80.93413043478262|4.43267623
Argentina|2021Q1|0.2779616518701433|0.001144197967580896|58.611111111111114|57.20132859000001|49.85289274|45.376763|-6.722222222222222|-35.56666666666667|-14.511111111111111|76.71388888888889|3.35855892
Argentina|2021Q2|0.8472618463331111|0.009668384675213611|50.0|57.20132859|49.85289274|45.376763|1.7362637362637363|-38.043956043956044|-10.197802197802197|79.00263736263737|-0.79996702
Argentina|2021Q3|0.4600372221350386|0.054433146762804564|50.0|57.20132859|49.85289274000001|45.37676299999999|17.847826086956523|-15.402173913043478|6.054347826086956|75.55597826086957|4.08374592
Argentina|2021Q4|0.043850265525251675|0.12807751855673244|19.565217391304348|57.20132859|49.85289274000001|45.38145847826087|28.195652173913043|0.03260869565217391|15.326086956521738|46.97|1.85237543
Australia|2020Q1|0.0007051402688527478|0.0|7.967032967032967|78.74662637|72.94070418|25.526836|5.175824175824176|-2.032967032967033|1.9230769230769231|19.666923076923077|-0.30492876
Australia|2020Q2|0.003369003506740906|0.0|75.0|78.74662637|72.94070418|25.526836|-4.725274725274725|-28.53846153846154|-27.318681318681318|64.52351648351649|-6.796677629999999
Australia|2020Q3|0.030712776154475235|0.0|75.0|78.74662637|72.94070418|25.526836|-4.576086956521739|-18.065217391304348|-18.782608695652176|73.19739130434782|3.5058334699999993
Australia|2020Q4|0.0008226636469948725|0.0|75.0|78.74662637|72.94070418|25.52805139130435|2.4239130434782608|-10.141304347826088|-15.48913043478261|65.73108695652174|3.2769436299999994
